No.	Time	Source	Destination	Protocol	Length	Info
7883	45.250462400	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7884	45.250464100	162.254.198.101	192.168.50.145	UDP	1109	27028 → 47488 Len=1067
7885	45.261911800	192.168.50.145	162.254.198.101	UDP	682	47488 → 27028 Len=640
7886	45.266975800	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7887	45.266976700	162.254.198.101	192.168.50.145	UDP	1174	27028 → 47488 Len=1132
7888	45.277949100	192.168.50.145	162.254.198.101	UDP	815	47488 → 27028 Len=773
7889	45.281651700	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7890	45.281652800	162.254.198.101	192.168.50.145	UDP	1136	27028 → 47488 Len=1094
7891	45.293025800	192.168.50.145	162.254.198.101	UDP	759	47488 → 27028 Len=717
7892	45.296758600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7893	45.296761400	162.254.198.101	192.168.50.145	UDP	727	27028 → 47488 Len=685
7894	45.308636200	192.168.50.145	162.254.198.101	UDP	753	47488 → 27028 Len=711
7895	45.312607600	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7896	45.312609300	162.254.198.101	192.168.50.145	UDP	1299	27028 → 47488 Len=1257
7897	45.314464000	162.254.198.101	192.168.50.145	UDP	435	27028 → 47488 Len=393
7898	45.324375600	192.168.50.145	162.254.198.101	UDP	690	47488 → 27028 Len=648
7899	45.327842900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7900	45.327844100	162.254.198.101	192.168.50.145	UDP	603	27028 → 47488 Len=561
7901	45.339996600	192.168.50.145	162.254.198.101	UDP	584	47488 → 27028 Len=542
7902	45.343788900	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7903	45.343790400	162.254.198.101	192.168.50.145	UDP	464	27028 → 47488 Len=422
7904	45.355573500	192.168.50.145	162.254.198.101	UDP	567	47488 → 27028 Len=525
7905	45.359282400	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
7906	45.359284100	162.254.198.101	192.168.50.145	UDP	362	27028 → 47488 Len=320
7907	45.370618600	192.168.50.145	162.254.198.101	UDP	591	47488 → 27028 Len=549
7908	45.374533200	162.254.198.101	192.168.50.145	UDP	1303	27028 → 47488 Len=1261
